Edge,Ollivier-Ricci Curvature
"('171', '33')",-0.04596622889305779
"('171', '63')",-0.01628728414442615
"('171', '67')",-0.0018028846153850253
"('171', '70')",-0.010619977037886974
"('171', '71')",-0.013689700130376847
"('171', '89')",-0.03786057692307665
"('171', '108')",0.014615384615384919
"('171', '117')",0.004487179487181248
"('171', '131')",-0.014423076923075318
"('171', '160')",-0.0240384615384599
"('171', '175')",-0.03926282051281893
"('171', '194')",-0.020384615384614557
"('171', '201')",-0.08559577677224528
"('171', '209')",-0.04769230769230748
"('171', '250')",-0.015239477503628196
"('171', '254')",-0.021401985111662025
"('171', '262')",-0.006955810147297958
"('171', '301')",-0.10412757973733511
"('171', '343')",-0.002652519893898475
"('171', '349')",-0.0777972027972027
"('171', '364')",-0.02138932496075352
"('171', '384')",-0.03445512820512642
"('171', '399')",0.025641025641027326
"('171', '459')",-0.032993966817494336
"('171', '460')",-0.061454849498326025
"('171', '461')",-0.072209653092004
"('171', '485')",-0.09005628517823605
"('171', '525')",-0.06037567084078588
"('171', '534')",-0.01648351648351465
"('171', '538')",-0.026850507982583594
"('171', '549')",-0.0013262599469483494
"('171', '566')",-0.027868318122554303
"('171', '594')",-0.02609890109889923
"('171', '661')",-0.0515384615384602
"('171', '666')",-0.07735042735042552
"('171', '678')",-0.0448717948717936
"('171', '692')",-0.07255244755244683
"('171', '700')",-0.033461538461537765
"('171', '703')",-0.0784929356357924
"('171', '708')",0.007007822685789922
"('171', '773')",-0.07535321821036
"('171', '780')",-0.04807692307692113
"('171', '788')",-0.04204693611473154
"('171', '795')",-0.04807692307692113
"('171', '824')",-0.011675824175822358
"('171', '846')",-0.014993481095174843
"('171', '860')",-0.04269882659713087
"('171', '911')",-0.005079825834542806
"('171', '924')",0.016826923076924682
"('171', '980')",-0.03445512820512664
"('195', '8')",-0.07366071428571419
"('195', '19')",-0.020604395604393755
"('195', '20')",-0.05604103343464861
"('195', '41')",-0.021179401993355107
"('195', '64')",-0.02321428571428541
"('195', '65')",-0.027579365079363427
"('195', '70')",-0.03304904051172586
"('195', '76')",-0.04613095238095033
"('195', '121')",-0.021086626139816156
"('195', '140')",-0.011287061994607939
"('195', '146')",-0.012445887445885928
"('195', '172')",-0.00892857142857073
"('195', '184')",-0.03318733153638598
"('195', '215')",-0.042207792207789696
"('195', '226')",-0.07242063492063311
"('195', '227')",0.00048701298701447904
"('195', '242')",-0.0462662337662334
"('195', '248')",-0.09860248447204878
"('195', '265')",-0.029891304347825054
"('195', '292')",-0.041149068322981375
"('195', '293')",-0.047619047619045896
"('195', '353')",-0.020833333333331483
"('195', '383')",-0.04928571428571238
"('195', '391')",0.023339598997492605
"('195', '467')",-0.019047619047617204
"('195', '468')",-0.06022408963585257
"('195', '473')",-0.03399122807017685
"('195', '479')",-0.032563025210082364
"('195', '482')",-0.03327922077922052
"('195', '535')",0.01818181818182052
"('195', '556')",-0.06091269841269642
"('195', '564')",0.008928571428573173
"('195', '585')",-0.053046218487393215
"('195', '599')",0.004464285714287142
"('195', '613')",-0.04626623376623318
"('195', '627')",-0.011904761904760086
"('195', '674')",-0.06006493506493493
"('195', '677')",-0.062499999999999556
"('195', '681')",-0.027925531914892554
"('195', '710')",-0.01613408521303361
"('195', '714')",-0.023459383753499763
"('195', '717')",-0.026785714285713746
"('195', '775')",-0.037337662337662
"('195', '802')",-0.033613445378149365
"('195', '823')",-0.032229965156794105
"('195', '826')",-0.07184385382059788
"('195', '856')",-0.01388888888888773
"('195', '889')",-0.04178571428571387
"('195', '895')",-0.033928571428568643
"('195', '911')",-0.032681940700806766
"('195', '934')",-0.05456349206349009
"('195', '939')",-0.01233766233766076
"('195', '944')",-0.06283692722371748
"('195', '984')",-0.007729211087419197
"('195', '998')",-0.01672077922077775
"('209', '30')",-0.041578947368420716
"('209', '107')",-0.014509803921567865
"('209', '112')",-0.058181818181816114
"('209', '134')",0.021111111111111858
"('209', '143')",-0.03787234042553167
"('209', '152')",-0.029999999999998028
"('209', '198')",-0.020000000000000462
"('209', '222')",-0.014814814814814836
"('209', '225')",-0.029622641509433834
"('209', '270')",-0.08804878048780518
"('209', '276')",-0.0457627118644055
"('209', '286')",-0.07846153846153814
"('209', '315')",-0.034545454545452436
"('209', '345')",-0.02272727272727093
"('209', '369')",-0.10181818181818092
"('209', '388')",-0.0160377358490571
"('209', '391')",-0.04543859649122739
"('209', '421')",-0.015087719298245261
"('209', '423')",-0.0644444444444443
"('209', '488')",-0.09249999999999847
"('209', '510')",-0.021818181818180182
"('209', '532')",-0.06333333333333324
"('209', '556')",-0.06999999999999917
"('209', '559')",-0.062222222222221735
"('209', '579')",-0.05909090909090686
"('209', '624')",0.007352941176470673
"('209', '628')",-0.10555555555555451
"('209', '642')",0.009090909090911481
"('209', '649')",-0.015342465753424905
"('209', '676')",-0.060952380952380425
"('209', '683')",-0.0026984126984124224
"('209', '687')",-0.13111111111111096
"('209', '695')",-0.010655737704918122
"('209', '711')",-0.013333333333333197
"('209', '736')",-0.04772727272727195
"('209', '804')",-0.03777777777777702
"('209', '809')",-0.04450980392156789
"('209', '817')",-0.03408163265306152
"('209', '820')",-0.0231578947368416
"('209', '830')",-0.01132075471698113
"('209', '836')",-0.03166666666666629
"('209', '871')",-0.008214285714284841
"('209', '918')",-0.0700000000000005
"('209', '925')",-0.04851851851851885
"('209', '937')",-0.005416666666665737
"('209', '943')",-0.055555555555555136
"('209', '972')",-0.04464285714285632
"('209', '979')",-0.011851851851852224
"('217', '30')",-0.03012247600132545
"('217', '35')",-0.07948986722571649
"('217', '74')",-0.00943396226415083
"('217', '107')",-0.0329263780984097
"('217', '130')",-0.06819968553459099
"('217', '138')",-0.056435309973044356
"('217', '196')",-0.03045349222111904
"('217', '205')",-0.11687631027253564
"('217', '257')",0.03644099149093616
"('217', '275')",-0.032345013477088846
"('217', '289')",-0.04528301886792385
"('217', '290')",-0.03066037735848859
"('217', '291')",-0.00900514579759859
"('217', '294')",-0.062075471698112894
"('217', '301')",-0.07961343764380979
"('217', '338')",-0.04695540308747792
"('217', '356')",-0.02618405852907202
"('217', '371')",-0.03207547169811176
"('217', '378')",-0.04197150558336582
"('217', '409')",-0.022549470777726066
"('217', '441')",-0.06480721903199327
"('217', '463')",-0.06469002695417703
"('217', '466')",0.008790737564322804
"('217', '472')",-0.06954804738920584
"('217', '498')",-0.04284591194968512
"('217', '503')",-0.02166863207547154
"('217', '506')",-0.051886792452829456
"('217', '517')",-0.010613207547169434
"('217', '528')",-0.03977062523122443
"('217', '590')",-0.056603773584905204
"('217', '628')",-0.04486373165618418
"('217', '646')",1.1102230246251565e-16
"('217', '648')",-0.025606469002695587
"('217', '678')",-0.04088050314465397
"('217', '689')",-0.05399437976716137
"('217', '702')",-0.016152086906803476
"('217', '768')",-0.01723512336719879
"('217', '797')",-0.020846013390139806
"('217', '807')",-0.07479784366576636
"('217', '823')",-0.07892314772204267
"('217', '839')",-0.07793273174733417
"('217', '864')",0.006738544474395369
"('217', '877')",-0.04883462819089868
"('217', '890')",-0.032186459489456976
"('217', '905')",-0.0771649733913875
"('217', '911')",-0.04716981132075415
"('217', '914')",-0.026037735849056443
"('217', '927')",-0.06443195503813581
"('217', '943')",-0.024318658280921834
"('217', '952')",-0.09415094339622576
"('217', '958')",-0.043971858010872555
"('217', '984')",-0.019008729935229063
"('236', '12')",-0.0790043290043283
"('236', '45')",-0.017934446505874835
"('236', '57')",-0.021956856702618488
"('236', '59')",-0.001782531194294723
"('236', '70')",-0.03629579375848002
"('236', '89')",0.049952651515151714
"('236', '119')",-0.007575757575757347
"('236', '125')",-0.016287878787877963
"('236', '178')",0.01168831168831208
"('236', '243')",-0.008021390374330473
"('236', '250')",-0.032590051457975555
"('236', '252')",-0.018939393939393367
"('236', '270')",-0.059866962305986204
"('236', '298')",-0.07386363636363669
"('236', '301')",-0.032889874353288606
"('236', '313')",-0.05368906455862876
"('236', '320')",0.03626428216592159
"('236', '343')",-0.012277951933124198
"('236', '351')",-0.004870129870129025
"('236', '374')",0.006008359456635692
"('236', '378')",-0.008039579468150704
"('236', '380')",-0.016118633139909022
"('236', '400')",-0.05443974630021042
"('236', '403')",-0.019789734075448262
"('236', '417')",-0.0623885918003555
"('236', '439')",-0.0039804827940410625
"('236', '444')",-0.029461279461279855
"('236', '449')",-0.04886363636363544
"('236', '456')",-0.05681818181818077
"('236', '483')",0.019886363636363757
"('236', '485')",-0.0763118994826304
